Gene_Name,logFC,AveExpr,t,P.Value,adj.P.Val,B
SCO2,0.726973591778158,4.54443287923609,3.47346818772853,0.00454474402397688,0.0213395985814282,-2.85850264317624
DNA2,1.71445069726852,3.4132249311321,3.46979379853002,0.00457577729384464,0.0214613277764608,-2.61700883489029
CD2AP,0.600871267175595,5.51004478027859,3.46813896868107,0.00458982400263554,0.0215032038930276,-2.98231431152121
NFXL1,0.896825059599434,4.14978028763723,3.46365593615053,0.00462809805885835,0.0216601973136832,-2.79887347470576
NUP50,1.66130784445453,7.32438558738382,3.46309880078014,0.00463287723872408,0.0216686618415692,-3.01680035834786
ALDH1B1,1.27123198303509,5.55993662009811,3.46120497402565,0.00464916027864144,0.0217266792220716,-2.99853327539775
CAND1,0.456760469803859,7.47289645932667,3.4607379826285,0.004653184384722,0.0217333973277524,-3.02042027084053
YWHAE,0.354638918541806,9.44118375928145,3.4596494943756,0.00466257773464733,0.0217651718974301,-2.99188110357467
RHOV,2.80254341265469,-2.52414402377718,3.45894373202818,0.00466867856569454,0.0217815500545521,-1.92738580898474
TMEM158,3.33149636678975,3.8622357617697,3.45718551092143,0.00468391249279053,0.0218362983768776,-2.74592697813757
ELOVL1,0.485252676068749,6.91403194043572,3.45698984449892,0.00468561094596969,0.0218362983768776,-3.0308249182237
RP11-82H13.2,4.47905450522551,-2.56096158187438,3.45679387399818,0.00468731266613661,0.0218381728179722,-1.92892374662692
HOXB4,0.748042903676114,3.60600039867605,3.45549487712923,0.00469860846766692,0.0218775241200296,-2.68870716400592
ZNF146,0.799402726321297,6.86640180105067,3.45537359656424,0.00469966450897394,0.0218775241200296,-3.03418298776545
PAGE5,5.86821532598376,-1.51950360444942,3.45444072131399,0.00470779551793149,0.0219032402211624,-2.00577830598453
SUZ12,0.603897149423094,6.0219994138018,3.45341962854193,0.00471671182868556,0.02192573648751,-3.03358985208738
CTU1,0.827539312421055,3.41143314181358,3.45328946837456,0.00471784963634847,0.02192573648751,-2.64726546627161
VTA1,0.452624443006592,5.90879998087557,3.45313635485585,0.00471918845003591,0.0219258949137002,-3.03058801704853
CCDC88C,2.15565338215476,-1.48312230405858,3.45264522449645,0.00472348546511188,0.0219397935990064,-2.01192319617949
NANP,0.950767214018761,4.39609700483208,3.45163706350072,0.0047323185661938,0.0219747481361942,-2.87236202573354
ZNF473,0.868954311090876,4.46980065366745,3.45035637467887,0.00474356365873101,0.0220147990292667,-2.88822569519651
DDX11,0.81844034282133,6.10823930024019,3.44992734912334,0.00474733678813414,0.0220215947019229,-3.04198173533663
KLHL33,1.0748205365172,-0.038482849189585,3.44989189041139,0.00474764877150055,0.0220215947019229,-2.15715187090719
SIRT6,0.658872294910038,4.40087001413475,3.44862612922456,0.00475879922460835,0.0220611368191843,-2.87888576403965
DARS,0.584761166560585,6.54106546275602,3.44828258212473,0.00476183021865616,0.0220691000619186,-3.04902628625959
FSD2,1.25244660368359,1.0058456848391,3.44724505445094,0.00477099587052578,0.0220932999735976,-2.26794399381913
MAP4K5,1.02270207769465,5.89294341770472,3.44663121220829,0.00477642706989531,0.0221123572753693,-3.04223588263225
